project,dev,class
cobertura,lewijw,Test132
cobertura,lewijw,Test133
cobertura,lewijw,Test134
cobertura,lewijw,Test135
cobertura,lewijw,Test14
cobertura,lewijw,Test15
cobertura,lewijw,Test16
cobertura,lewijw,Test17
cobertura,lewijw,Test18
cobertura,lewijw,Test19
cobertura,lewijw,Test2
cobertura,lewijw,Test20
cobertura,lewijw,Test21
cobertura,lewijw,Test22
cobertura,lewijw,Test23
cobertura,lewijw,Test24
cobertura,lewijw,Test25
cobertura,lewijw,Test26
cobertura,lewijw,Test27
cobertura,lewijw,Test28
cobertura,lewijw,Test29
cobertura,lewijw,Test3
cobertura,lewijw,Test30
cobertura,lewijw,Test31
cobertura,lewijw,Test32
cobertura,lewijw,Test33
cobertura,lewijw,Test34
cobertura,lewijw,Test35
cobertura,lewijw,Test36
cobertura,lewijw,Test37
cobertura,lewijw,Test38
cobertura,lewijw,Test39
cobertura,lewijw,Test4
cobertura,lewijw,Test40
cobertura,lewijw,Test41
cobertura,lewijw,Test42
cobertura,lewijw,Test43
cobertura,lewijw,Test44
cobertura,lewijw,Test45
cobertura,lewijw,Test46
cobertura,lewijw,Test47
cobertura,lewijw,Test48
cobertura,lewijw,Test49
cobertura,lewijw,Test5
cobertura,lewijw,Test50
cobertura,lewijw,Test51
cobertura,lewijw,Test52
cobertura,lewijw,Test53
cobertura,lewijw,Test54
cobertura,lewijw,Test55
cobertura,lewijw,Test56
cobertura,lewijw,Test57
cobertura,lewijw,Test58
cobertura,lewijw,Test59
cobertura,lewijw,Test6
cobertura,lewijw,Test60
cobertura,lewijw,Test61
cobertura,lewijw,Test62
cobertura,lewijw,Test63
cobertura,lewijw,Test64
cobertura,lewijw,Test65
cobertura,lewijw,Test66
cobertura,lewijw,Test67
cobertura,lewijw,Test68
cobertura,lewijw,Test69
cobertura,lewijw,Test7
cobertura,lewijw,Test70
cobertura,lewijw,Test70Super
cobertura,lewijw,Test71
cobertura,lewijw,Test72
cobertura,lewijw,Test73
cobertura,lewijw,Test74
cobertura,lewijw,Test75
cobertura,lewijw,Test76
cobertura,lewijw,Test77
cobertura,lewijw,Test78
cobertura,lewijw,Test79
cobertura,lewijw,Test8
cobertura,lewijw,Test80
cobertura,lewijw,Test81
cobertura,lewijw,Test82
cobertura,lewijw,Test83
cobertura,lewijw,Test84
cobertura,lewijw,Test85
cobertura,lewijw,Test86
cobertura,lewijw,Test87
cobertura,lewijw,Test88
cobertura,lewijw,Test89
cobertura,lewijw,Test9
cobertura,lewijw,Test90
cobertura,lewijw,Test91
cobertura,lewijw,Test92
cobertura,lewijw,Test93
cobertura,lewijw,Test94
cobertura,lewijw,Test95
cobertura,lewijw,Test96
cobertura,lewijw,Test97
cobertura,lewijw,Test98
cobertura,lewijw,Test99
cobertura,lewijw,CommonMatchingTask
cobertura,lewijw,FileLocker
cobertura,lewijw,PackageData
cobertura,lewijw,SourceFileData
cobertura,lewijw,CoverageDataFileHandler
cobertura,lewijw,IOUtil
cobertura,lewijw,SummaryXMLReport
cobertura,lewijw,FunctionalTest
cobertura,lewijw,XMLReport
cobertura,lewijw,FlushCoberturaServlet
cobertura,lewijw,CheckTask
cobertura,lewijw,FileFinder
cobertura,lewijw,Source
cobertura,lewijw,ASCII_UCodeESC_CharStream
cobertura,lewijw,A
cobertura,lewijw,ComplexityCalculatorTest
cobertura,lewijw,FileFixture
cobertura,jirimares,ReportTask
cobertura,jirimares,HTMLReport
cobertura,jirimares,StringUtil
cobertura,jirimares,StringUtilTest
cobertura,jirimares,Main
cobertura,jirimares,CoverageDataFileHandler
cobertura,jirimares,FirstPassMethodInstrumenter
cobertura,lewijw,RemoteInterface
cobertura,lewijw,RemoteListener
cobertura,jirimares,CoverageDataContainer
cobertura,jirimares,JumpData
cobertura,jirimares,PackageData
cobertura,lewijw,FunctionalConditionCoverageTest
cobertura,lewijw,ConditionCalls
cobertura,lewijw,Test
cobertura,lewijw,StringUtil
cobertura,lewijw,NewLocalVariableMethodAdapter
cobertura,lewijw,FirstPassMethodInstrumenter
cobertura,lewijw,InstrumentTask
cobertura,lewijw,ClassInstrumenter
cobertura,lewijw,ConfigurationUtil
cobertura,jirimares,IgnoreBranches
cobertura,jirimares,InstrumentTask
cobertura,jirimares,BranchCoverageData
cobertura,jirimares,ClassData
cobertura,jirimares,LineData
cobertura,jirimares,SourceFileData
cobertura,jirimares,SwitchData
cobertura,jirimares,ClassInstrumenter
cobertura,jirimares,JumpHolder
cobertura,jirimares,MethodInstrumenter
cobertura,jirimares,NewLocalVariableMethodAdapter
cobertura,jirimares,SecondPassMethodInstrumenter
cobertura,jirimares,SwitchHolder
cobertura,jirimares,XMLReport
cobertura,jirimares,ClassDataTest
cobertura,jirimares,JumpDataTest
cobertura,jirimares,LineDataTest
cobertura,jirimares,PackageDataTest
cobertura,jirimares,SwitchDataTest
cobertura,jirimares,MergeTest
cobertura,hauserx,ClassData
cobertura,hauserx,XMLReportTest
cobertura,hauserx,HTMLReportTest
cobertura,hauserx,HTMLReport
cobertura,hauserx,JUnitXMLParserErrorHandler
cobertura,hauserx,Main
cobertura,hauserx,CoverageDataFileHandler
cobertura,hauserx,MergeMainTest
cobertura,hauserx,MergeTest
cobertura,hauserx,ProjectData
cobertura,hauserx,CustomAttribute
cobertura,hauserx,ClassDataTest
cobertura,hauserx,CommandLineBuilder
cobertura,hauserx,CommandLineBuilderTest
cobertura,hauserx,InstrumentTask
cobertura,hauserx,MergeTask
cobertura,hauserx,ReportTask
cobertura,hauserx,CommonMatchingTask
cobertura,hauserx,ClassInstrumenter
cobertura,hauserx,Util
cobertura,hauserx,PackageData
cobertura,hauserx,ComplexityCalculator
cobertura,hauserx,XMLReport
cobertura,hauserx,FileFinder
cobertura,hauserx,ComplexityCalculatorTest
cobertura,hauserx,FileFinderTest
cobertura,hauserx,FileFixture
cobertura,hauserx,IOUtilTest
cobertura,jthomerson,SomeOtherClassTest
cobertura,jthomerson,PackageData
cobertura,jthomerson,HTMLReport
cobertura,jthomerson,XMLReport
cobertura,jthomerson,FileFinder
cobertura,jthomerson,SomeOtherClass
cobertura,jthomerson,CommonMatchingTask
cobertura,jthomerson,ReportTask
cobertura,jthomerson,Main
cobertura,jthomerson,Util
cobertura,jthomerson,XMLReportTest
cobertura,jthomerson,StringUtilTest
cobertura,jthomerson,ProjectData
cobertura,jthomerson,PackageDataTest
cobertura,jthomerson,ProjectDataTest
cobertura,jthomerson,JUnitXMLParserEntityResolver
cobertura,jthomerson,FileFlooder
cobertura,jthomerson,Clazz
cobertura,jthomerson,{Coverage ? CoverageReport}
cobertura,jthomerson,CoverageUnmarshaller
cobertura,jthomerson,CoverageDataTest
cobertura,jthomerson,ClazzTest
cobertura,jthomerson,CoverageTest
findbugs,iloveeclipse,BugInstance
findbugs,iloveeclipse,PropertyBundle
findbugs,iloveeclipse,YourKitController
findbugs,iloveeclipse,ClassName
findbugs,iloveeclipse,WriteOnceProperties
findbugs,iloveeclipse,Project
findbugs,iloveeclipse,SourceLineAnnotation
findbugs,iloveeclipse,BugLoader
findbugs,iloveeclipse,BetterCFGBuilder2
findbugs,iloveeclipse,Dataflow
findbugs,iloveeclipse,Location
findbugs,iloveeclipse,UnconditionalValueDerefAnalysis
findbugs,iloveeclipse,ValueNumberFrame
findbugs,iloveeclipse,ValueNumberFrameModelingVisitor
findbugs,iloveeclipse,FindRefComparison
findbugs,iloveeclipse,Subtypes2
findbugs,iloveeclipse,FindBadCast2
findbugs,iloveeclipse,MarkerUtil
findbugs,iloveeclipse,JdtUtils
findbugs,iloveeclipse,Reporter
findbugs,iloveeclipse,TestClassDescriptor
findbugs,iloveeclipse,AbstractMissingHashCode
findbugs,iloveeclipse,CheckExpectedWarnings
findbugs,iloveeclipse,FindHEmismatch
findbugs,iloveeclipse,BugAccumulator
findbugs,iloveeclipse,FuzzyBugComparator
findbugs,iloveeclipse,Plugin
findbugs,iloveeclipse,SloppyBugComparator
findbugs,iloveeclipse,VersionInsensitiveBugComparator
findbugs,iloveeclipse,WarningComparator
findbugs,iloveeclipse,AbstractClassMember
findbugs,iloveeclipse,ClassInfo
findbugs,iloveeclipse,NoiseNullDeref
findbugs,iloveeclipse,FindbugsPlugin
findbugs,iloveeclipse,SAXBugCollectionHandler
findbugs,iloveeclipse,ConfidenceMatcher
findbugs,iloveeclipse,OpcodeStack
findbugs,iloveeclipse,AnnotatedString
findbugs,iloveeclipse,AboutDialog
findbugs,iloveeclipse,DeadBugFilter
findbugs,iloveeclipse,DisplayNonmodelMessage
findbugs,iloveeclipse,PreferencesFrame
findbugs,iloveeclipse,SplashFrame
findbugs,iloveeclipse,Analyze
findbugs,iloveeclipse,Lookup
findbugs,iloveeclipse,ClassContext
findbugs,iloveeclipse,ConstantAnalysis
findbugs,iloveeclipse,IsNullValue
findbugs,iloveeclipse,IsNullValueAnalysis
findbugs,iloveeclipse,ReturnPathTypeAnalysis
findbugs,iloveeclipse,TypeAnalysis
findbugs,iloveeclipse,ValueNumberAnalysis
findbugs,iloveeclipse,ClassParser
findbugs,iloveeclipse,SelfMethodCalls
findbugs,iloveeclipse,AnalysisCache
findbugs,iloveeclipse,ZipFileCodeBase
findbugs,iloveeclipse,CrossSiteScripting
findbugs,iloveeclipse,DontIgnoreResultOfPutIfAbsent
findbugs,iloveeclipse,FindDeadLocalStores
findbugs,iloveeclipse,FindNullDerefsInvolvingNonShortCircuitEvaluation
findbugs,iloveeclipse,IDivResultCastToDouble
findbugs,iloveeclipse,TestingGround
findbugs,iloveeclipse,TrainUnconditionalDerefParams
findbugs,iloveeclipse,NotMatcher
findbugs,iloveeclipse,RegenerateClassFeatures
findbugs,iloveeclipse,AnnotationVisitor
findbugs,iloveeclipse,PrintClass
findbugs,iloveeclipse,CountClassVersions
findbugs,iloveeclipse,Update
findbugs,iloveeclipse,CheckClassfileVersion
findbugs,iloveeclipse,JUnitJarRunner
findbugs,iloveeclipse,FindBugs2
findbugs,iloveeclipse,AnalysisContext
findbugs,billpugh,Version
findbugs,iloveeclipse,RFE3026970
findbugs,iloveeclipse,Bug1911620
findbugs,iloveeclipse,RFE1910461
findbugs,iloveeclipse,Sortables
findbugs,iloveeclipse,FieldAnnotation
findbugs,iloveeclipse,MethodAnnotation
findbugs,iloveeclipse,PluginLoader
findbugs,iloveeclipse,ProjectPackagePrefixes
findbugs,iloveeclipse,AnnotationDatabase
findbugs,iloveeclipse,ObjectTypeFactory
findbugs,iloveeclipse,SourceFinder
findbugs,iloveeclipse,TypeQualifierValue
findbugs,iloveeclipse,TypeQualifierNullnessAnnotationDatabase
findbugs,iloveeclipse,ProjectFilterSettings
findbugs,iloveeclipse,UserPreferences
findbugs,iloveeclipse,BuildCheckReturnAnnotationDatabase
findbugs,iloveeclipse,BuildNonNullAnnotationDatabase
findbugs,iloveeclipse,FindCircularDependencies
findbugs,iloveeclipse,FindNullDeref
findbugs,iloveeclipse,InefficientMemberAccess
findbugs,iloveeclipse,MutableStaticFields
findbugs,iloveeclipse,Naming
findbugs,iloveeclipse,SerializableIdiom
findbugs,iloveeclipse,JAIFParser
findbugs,iloveeclipse,HTML
findbugs,iloveeclipse,DismantleBytecode
findbugs,iloveeclipse,MainFrame
findbugs,iloveeclipse,JavaSourceDocument
findbugs,iloveeclipse,Tokenizer
findbugs,iloveeclipse,InnerClassAccessMap
findbugs,iloveeclipse,GenericUtilities
findbugs,iloveeclipse,FieldSetAnalysis
findbugs,iloveeclipse,TypeQualifierApplications
findbugs,iloveeclipse,TypeQualifierValueSet
findbugs,iloveeclipse,NullDerefAndRedundantComparisonFinder
findbugs,iloveeclipse,ObligationAnalysis
findbugs,iloveeclipse,ClassParserUsingASM
findbugs,iloveeclipse,AbstractCloud
findbugs,iloveeclipse,AtomicityProblem
findbugs,iloveeclipse,BuildInterproceduralCallGraph
findbugs,iloveeclipse,DefaultEncodingDetector
findbugs,iloveeclipse,DumbMethods
findbugs,iloveeclipse,FindDoubleCheck
findbugs,iloveeclipse,FindFieldSelfAssignment
findbugs,iloveeclipse,FindNonShortCircuit
findbugs,iloveeclipse,FindPuzzlers
findbugs,iloveeclipse,FindSelfComparison
findbugs,iloveeclipse,FindSelfComparison2
findbugs,iloveeclipse,FindUnconditionalWait
findbugs,iloveeclipse,FunctionsThatMightBeMistakenForProcedures
findbugs,iloveeclipse,InfiniteLoop
findbugs,iloveeclipse,InfiniteRecursiveLoop
findbugs,iloveeclipse,LostLoggerDueToWeakReference
findbugs,iloveeclipse,MethodReturnCheck
findbugs,iloveeclipse,MutableLock
findbugs,iloveeclipse,Noise
findbugs,iloveeclipse,NoteDirectlyRelevantTypeQualifiers
findbugs,iloveeclipse,PreferZeroLengthArrays
findbugs,iloveeclipse,PublicSemaphores
findbugs,iloveeclipse,QuestionableBooleanAssignment
findbugs,iloveeclipse,StringConcatenation
findbugs,iloveeclipse,SuperfluousInstanceOf
findbugs,iloveeclipse,SynchronizationOnSharedBuiltinConstant
findbugs,iloveeclipse,SynchronizeOnClassLiteralNotGetClass
findbugs,iloveeclipse,SynchronizingOnContentsOfFieldToProtectField
findbugs,iloveeclipse,UnreadFields
findbugs,iloveeclipse,UselessSubclassMethod
findbugs,iloveeclipse,VolatileUsage
findbugs,iloveeclipse,WrongMapIterator
findbugs,iloveeclipse,Bug2539590
findbugs,iloveeclipse,PDEClassPathGenerator
findbugs,iloveeclipse,SorterTableColumnModel
findbugs,iloveeclipse,PruneInfeasibleExceptionEdges
findbugs,iloveeclipse,IncompatMask
findbugs,iloveeclipse,TestingGround2
findbugs,iloveeclipse,JAIFToken
findbugs,iloveeclipse,UpdateChecker
findbugs,iloveeclipse,FractionalMultiset
findbugs,iloveeclipse,FutureValue
findbugs,iloveeclipse,Multiset
findbugs,iloveeclipse,Util
findbugs,iloveeclipse,CopyBuggySource
findbugs,iloveeclipse,OutputStreamXMLOutput
findbugs,iloveeclipse,ComparePerfomance
findbugs,iloveeclipse,CallToUnconditionalThrower
findbugs,iloveeclipse,CbeckMustOverrideSuperAnnotation
findbugs,iloveeclipse,CheckAnalysisContextContainedAnnotation
findbugs,iloveeclipse,FindSqlInjection
findbugs,iloveeclipse,DetectorsTest
findbugs,iloveeclipse,OverriddenMethodsVisitor
findbugs,iloveeclipse,SupertypeTraversalVisitor
findbugs,iloveeclipse,Analysis
findbugs,iloveeclipse,UncallableMethodOfAnonymousClass
findbugs,iloveeclipse,Bug1191
findbugs,iloveeclipse,Super
findbugs,iloveeclipse,Child
findbugs,iloveeclipse,InnerIS
findbugs,iloveeclipse,UnreleasedLock
findbugs,iloveeclipse,Ideas_2009_12_11
findbugs,iloveeclipse,Ideas_2010_08_26
findbugs,iloveeclipse,CheckForNullArrayArgs
findbugs,iloveeclipse,CheckForNullVarArgs
findbugs,iloveeclipse,TestNullnessRelaxation2
findbugs,iloveeclipse,Bug2311502
findbugs,iloveeclipse,DefaultEncodingDetectorTest
findbugs,iloveeclipse,Bug1234
findbugs,iloveeclipse,FindRoughConstants
findbugs,iloveeclipse,FindRoughConstantsTest
findbugs,iloveeclipse,BasicBlock
findbugs,iloveeclipse,FindBugsTask
findbugs,iloveeclipse,TextUICommandLine
findbugs,billpugh,FindBugsBuilder
findbugs,billpugh,FilterBugsDialog
findbugs,billpugh,AbstractFindBugsTask
findbugs,billpugh,ConvertXmlToTextTask
findbugs,billpugh,PrintingBugReporter
findbugs,billpugh,SAXBugCollectionHandler
findbugs,billpugh,InefficientIndexOf
findbugs,billpugh,InstantiateStaticClass
findbugs,billpugh,Filter
findbugs,billpugh,SourceMatcher
findbugs,billpugh,SourceMatcherTest
findbugs,billpugh,CreateStaticObject
findbugs,billpugh,NewForGetClass
findbugs,billpugh,InefficientIndexOfDemo
findbugs,billpugh,Bug1240
findbugs,billpugh,Bug1282
findbugs,iloveeclipse,Filter
findbugs,iloveeclipse,SourceMatcher
findbugs,iloveeclipse,SourceMatcherTest
findbugs,iloveeclipse,Bug1240
findbugs,iloveeclipse,InstantiateStaticClass
findbugs,iloveeclipse,Bug1282
findbugs,iloveeclipse,AbstractFindBugsTask
findbugs,iloveeclipse,ConvertXmlToTextTask
findbugs,iloveeclipse,PrintingBugReporter
findbugs,iloveeclipse,CreateStaticObject
findbugs,iloveeclipse,NewForGetClass
findbugs,iloveeclipse,FilterBugsDialog
findbugs,iloveeclipse,InefficientIndexOf
findbugs,iloveeclipse,InefficientIndexOfDemo
findbugs,iloveeclipse,FindBugsBuilder
findbugs,billpugh,AbstractSwingGuiCallback
findbugs,billpugh,NewProjectWizard
findbugs,iloveeclipse,BooleanReturnNull
findbugs,iloveeclipse,OptionalReturnNull
findbugs,iloveeclipse,TypeReturnNull
findbugs,iloveeclipse,Feature247
findbugs,iloveeclipse,FindUncalledPrivateMethods
findbugs,iloveeclipse,Bug1272
findbugs,iloveeclipse,BugResolution
findbugs,iloveeclipse,UseEqualsResolution
findbugs,iloveeclipse,Bug1263
findbugs,billpugh,LoadOfKnownNullValue
findbugs,billpugh,Util
findbugs,billpugh,Bug1261
findbugs,billpugh,Bug1262
findbugs,billpugh,ProjectStats
findbugs,richardfearn,BugSet
findbugs,richardfearn,MainFrameComponentFactory
findbugs,richardfearn,MainFrameTree
findbugs,richardfearn,SorterDialog
findbugs,richardfearn,SorterTableColumnModel
findbugs,richardfearn,AnalysisError
findbugs,richardfearn,BugCategory
findbugs,richardfearn,BugInstance
findbugs,richardfearn,BugReporter
findbugs,richardfearn,FieldAnnotation
findbugs,richardfearn,FindBugs
findbugs,richardfearn,LocalVariableAnnotation
findbugs,richardfearn,OpcodeStack
findbugs,richardfearn,PackageStats
findbugs,richardfearn,Project
findbugs,richardfearn,ProjectStats
findbugs,richardfearn,SAXBugCollectionHandler
findbugs,richardfearn,SloppyBugComparator
findbugs,richardfearn,SortedBugCollection
findbugs,richardfearn,SourceLineAnnotation
findbugs,richardfearn,AnnotationDatabase
findbugs,richardfearn,ClassContext
findbugs,richardfearn,FieldSummary
findbugs,richardfearn,FrameDataflowAnalysis
findbugs,richardfearn,Hierarchy2
findbugs,richardfearn,PruneUnconditionalExceptionThrowerEdges
findbugs,richardfearn,ResourceTracker
findbugs,richardfearn,SourceFinder
findbugs,richardfearn,XFactory
findbugs,richardfearn,XMethod
findbugs,richardfearn,Subtypes2
findbugs,richardfearn,FlowValue
findbugs,richardfearn,NullDerefAndRedundantComparisonFinder
findbugs,richardfearn,TypeFrameModelingVisitor
findbugs,richardfearn,ValueNumberFrame
findbugs,richardfearn,IAnalysisCache
findbugs,richardfearn,AbstractFieldAnnotationVisitor
findbugs,richardfearn,ClassParser
findbugs,richardfearn,DirectoryCodeBase
findbugs,richardfearn,Cloud
findbugs,richardfearn,CloudFactory
findbugs,richardfearn,BuildUnconditionalParamDerefDatabase
findbugs,richardfearn,CheckExpectedWarnings
findbugs,richardfearn,DumbMethods
findbugs,richardfearn,FindNullDeref
findbugs,richardfearn,FindRefComparison
findbugs,richardfearn,IncompatMask
findbugs,richardfearn,InfiniteLoop
findbugs,richardfearn,InitializeNonnullFieldsInConstructor
findbugs,richardfearn,LazyInit
findbugs,richardfearn,Naming
findbugs,richardfearn,NoiseNullDeref
findbugs,richardfearn,NoteNonNullAnnotations
findbugs,richardfearn,NoteSuppressedWarnings
findbugs,richardfearn,OverridingEqualsNotSymmetrical
findbugs,richardfearn,StaticCalendarDetector
findbugs,richardfearn,Stream
findbugs,richardfearn,UnreadFields
findbugs,richardfearn,VolatileUsage
findbugs,richardfearn,UpdateChecker
findbugs,richardfearn,Archive
findbugs,richardfearn,Util
findbugs,richardfearn,FileBugHash
findbugs,richardfearn,RejarClassesForAnalysis
findbugs,richardfearn,TreemapVisualization
findbugs,richardfearn,OutputStreamXMLOutput
findbugs,richardfearn,XMLUtil
findbugs,billpugh,Bug1249
findbugs,billpugh,Bug1250
findbugs,billpugh,StackMapAnalyzer
findbugs,iloveeclipse,MarkerReporter
findbugs,billpugh,Bug3553542
findbugs,billpugh,DesireWarning
findbugs,billpugh,BugAccumulator
findbugs,billpugh,FindNullDeref
findbugs,billpugh,Bug1120
findbugs,billpugh,Bug1233
findbugs,billpugh,Bug1246
findbugs,billpugh,Bug1248
findbugs,tobiasbaum,OverriddenMethodsVisitor
findbugs,tobiasbaum,Subtypes2
findbugs,tobiasbaum,SupertypeTraversalVisitor
findbugs,tobiasbaum,Analysis
findbugs,tobiasbaum,TypeQualifierApplications
findbugs,billpugh,TypeFrameModelingVisitor
findbugs,billpugh,IOStreamFactory
findbugs,billpugh,Stream
findbugs,billpugh,Bug1230
findbugs,billpugh,Bug1238
findbugs,billpugh,Bug1241
findbugs,billpugh,Bug1242
findbugs,billpugh,ObligationFactory
findbugs,billpugh,CheckExpectedWarnings
findbugs,billpugh,BugInstance
findbugs,billpugh,EscapeIntoLoadProperties
findbugs,billpugh,OpenStream
findbugs,billpugh,Bug2353694
findbugs,billpugh,OpcodeStack
findbugs,billpugh,AcmpCondition
findbugs,billpugh,Condition
findbugs,billpugh,Decision
findbugs,billpugh,DefinitelyNullSet
findbugs,billpugh,DefinitelyNullSetAnalysis
findbugs,billpugh,DefinitelyNullSetDataflow
findbugs,billpugh,DefinitelyNullSetDataflowFactory
findbugs,billpugh,IfNullCondition
findbugs,billpugh,NullnessValue
findbugs,billpugh,TestDefinitelyNullSet
findbugs,billpugh,TestNullnessValue
findbugs,billpugh,AboutDialog
findbugs,billpugh,AnalysisErrorDialog
findbugs,billpugh,AnalysisRun
findbugs,billpugh,BugCellRenderer
findbugs,billpugh,BugInstanceGroup
findbugs,billpugh,ConfigureDetectorsDialog
findbugs,billpugh,DefaultSortedTableModel
findbugs,billpugh,FindBugsFrame
findbugs,billpugh,Grouper
findbugs,billpugh,LineNumberer
findbugs,billpugh,OSXAdapter
findbugs,billpugh,RunAnalysisDialog
findbugs,billpugh,SwingGUIBugReporter
findbugs,billpugh,ConvertToARFF
findbugs,billpugh,GenerateUIDs
findbugs,billpugh,UpdateCheckerTest
findbugs,billpugh,UpdateChecker
findbugs,billpugh,AnalysisCacheToRepositoryAdapter
findbugs,billpugh,URLClassPathRepository
findbugs,billpugh,ReturnTypeAnnotationAccumulator
findbugs,billpugh,TypeQualifierDataflowAnalysis
findbugs,billpugh,TypeQualifierValueSet
findbugs,billpugh,OpcodeStackDetector
findbugs,billpugh,CheckTypeQualifiers
findbugs,billpugh,InconsistentAnnotations
findbugs,KengoTODA,UnionBugs
findbugs,KengoTODA,SuppressionDecorator
findbugs,KengoTODA,OpcodeStack
findbugs,KengoTODA,ReturnTypeAnnotationAccumulator
findbugs,KengoTODA,TypeQualifierDataflowAnalysis
findbugs,KengoTODA,TypeQualifierValueSet
findbugs,KengoTODA,CheckTypeQualifiers
findbugs,KengoTODA,FindNullDeref
findbugs,KengoTODA,InconsistentAnnotations
findbugs,KengoTODA,AnalysisCacheToRepositoryAdapter
findbugs,KengoTODA,URLClassPathRepository
findbugs,KengoTODA,OpcodeStackDetector
findbugs,iloveeclipse,ValidationSecurityManager
findbugs,billpugh,AbstractFrameModelingVisitor
findbugs,billpugh,ValueNumberFrameModelingVisitor
findbugs,billpugh,MethodInfo
findbugs,billpugh,ClassParserUsingASM
findbugs,billpugh,MethodGenFactory
findbugs,billpugh,FindDeadLocalStores
findbugs,billpugh,DismantleBytecode
findbugs,billpugh,AnalysisContext
findbugs,billpugh,UnresolvedXMethod
findbugs,billpugh,XMethod
findbugs,billpugh,BytecodeScanner
findbugs,billpugh,AbstractMethodVisitor
findbugs,billpugh,SelfMethodCalls
findbugs,billpugh,FindBugsASM
findbugs,billpugh,TestASM
findbugs,billpugh,SourceDirectoryWizard
findbugs,billpugh,Test
findbugs,billpugh,AbstractFBMethodVisitor
findbugs,billpugh,ClassNodeDetector
findbugs,billpugh,FBClassReader
findbugs,billpugh,FBMethodVisitor
findbugs,billpugh,AnnotationValue
findbugs,billpugh,AbstractFieldAnnotationVisitor
findbugs,billpugh,CheckRelaxingNullnessAnnotation
findbugs,billpugh,AppEngineUsagePersistenceHelper
findbugs,iloveeclipse,Bug1219
findbugs,iloveeclipse,RefreshJob
findbugs,iloveeclipse,FindBugsPreferenceInitializer
findbugs,iloveeclipse,FindbugsPropertyPage
findbugs,iloveeclipse,FindBugsWorker
