project,class
jgrapht,MaskEdgeSet
findbugs,FindFieldSelfAssignment
jasperreports,BaseFillComponent
megamek,CLStreakLRM5OS
jgrapht,RepeatableRandomGraphGenerator
jrat,StatOutput
jchempaint,IRenderingVisitor
weka,CUP
tomcat,LoggerThread
jrat,ProxyConnection
poi,TestRangeEval
sandmark,PriorityQueue
fitlibraryforfitnesse,PrivatePropertyMethods
poi,CFHeaderRecord
hsqldb,ValuesIterator
struts,TextArea
jgroups,ClientConnectionHandler
weka,QueryExecuteEvent
quartz,CronTriggerTest
lucene,AbstractField
jchempaint,ILoggingTool
jchempaint,ElectronContainerIterator
megamek,PhysicalDisplay
lucene,AllDocsScoredDocIDs
itext,1TypeFontSubSet
marauroa,Message
fitlibraryforfitnesse,DefinedActionLoader
jgraph,JGraphModelFacade
fitlibraryforfitnesse,PlainText
jasperreports,JRDesignQuery
heritrix,JerichoExtractorHTMLTest
poi,AreaErrPtg
megamek,StraightArrowPolygon
jedit,SaveBackupOptionPane
jedit,SaveCaretInfoVisitor
drjava,MainFrame
jena,IRIResolver
jspwiki,GroupPermission
fitlibraryforfitnesse,FitLibraryExceptionWithHelp
exoportal,SecurityRoleRef
sunflow,Color
poi,SVTableCellEditor
jgraph,PortLabelCell
jparse,JavaParser
tomcat,JspOutput
jmeter,JMeterEngineException
jhotdraw,HarmonicRule
jedit,BSHPackageDeclaration
pooka,WizardPropertyEditor
megamek,ClubAttackAction
jhotdraw,OSXApplication
proguard,ParameterShrinker
exoportal,Button
drjava,CompileShouldSucceedListener
drjava,PopupAdapter
jasperreports,JRStyledText
jgraphpad,ToolBoxEdge
axion,Base64EncodeFunction
freemind,ActionHandler
exoportal,WatcherImpl
galleon,Location
velocity,Velocity614TestCase
jena,NodeToTriplesMapFaster
proguard,NullType
findbugs,RejarClassesForAnalysis
poi,TestDrawingManager
itext,RectangleReadOnly
jgraph,JGraphGreedyCycleRemover
jruby,ThreadService
freemind,DirectHtmlFlavorHandler
poi,MutableFPNumber
c_jdbc,AuthenticationManagerTest
jmeter,LineGraphGui
freemind,TextChangeListener
jspwiki,ApprovalWorkflowTest
itext,PdfImageObject
jfreechart,JDBCXYDataset
jspwiki,RCSFileProvider
heritrix,Scoper
log4j,BoundedFIFO
exoportal,PortalSessionInitializer
findbugs,Subtypes2Test
jruby,RubyTCPServer
tomcat,ApplicationDispatcher
tomcat,RpcChannel
freemind,NodeCompareCondition
james,AbstractProtocolTest
pmd,ConfusingTernaryRuleTest
argouml,LabelledLayout
jchempaint,RadicalSiteHrAlphaReaction
weka,IteratedSingleClassifierEnhancer
castor,JInterface
tomcat,ClusterRuleSet
jasperreports,JRIntegerCountIncrementer
megamek,ISLightMGA
jena,AddDeniedException
fitlibraryforfitnesse,Patch
struts,SessionMap
exoportal,JoinGroup
drawswf,BestsolutionConfigurationEditorFactory
drjava,JPDADebugger
sandmark,Algorithm
drjava,BooleanToken
sandmark,LazyDFAModel
jruby,StringMarshaller
jpf,PluginInfo
galleon,VideocastManager
jena,Node_RuleVariable
castor,StringToFloat
drawswf,ADPCMPacket
jext,FastGradientPaint
quilt,BytecodeCollector
columba,HeaderViewer
megamek,ManeuverChoiceDialog
fitlibraryforfitnesse,MissingMethodException
jena,RDFSFBRuleReasonerFactory
poi,LittleEndian
jgrapht,UndirectedGraphUnion
exoportal,ThreadPoolServiceImpl
hsqldb,Parser
exoportal,UIResourcesPortlet
columba,WorkOfflineAction
megamek,PlasmaCannonHandler
jgrapht,EdgeTopologyFactory
freecol,EndTurnDialog
jruby,InvalidMemoryIO
itext,TextRenderInfo
jasperreports,JRViewerToolbar
junit,ComparisonFailure
jhotdraw,Main
ganttproject,ExporterToHTML
argouml,UndoCoreHelperDecorator
roller,OldFeedRequest
megamek,LegAttackHandler
exoportal,ButtonRenderer
informa,DemoCategoryHibernate
htmlunit,HtmlElementTest
fitlibraryforfitnesse,DoTraverseInterpreter
jgrapht,CompleteBipartiteGraphGenerator
jasperreports,JRFillCrosstabColumnGroup
jchempaint,HOSECodeShiftRange
weka,VectorDictionary
jrat,ThreadInfo
trove,PrimeFinderTest
jruby,Colon2MethodNode
tapestry,DefaultModuleDefImpl
checkstyle,AnnotationUtility
castor,InformixQueryExpression
ivatagroupware,FileDO
itext,CJKFont
argouml,BlockStatement
weka,NodePanel
mvnforum,XMLWriter
jmeter,JMeterException
jchempaint,PartialPiChargeDescriptorTest
wct,ArchiveAdapterImpl
pooka,PreferencesVariableBundle
jchempaint,PartialSigmaChargeDescriptor
c_jdbc,MultipleRecoveryScenario
megamek,HexEntry
tomcat,ErrorHandler
poi,TestCountFuncs
megamek,InfantryPistolHoldoutGyrojetPistolWeapon
jasperreports,JRHighLowChartFactory
weka,AdaBoostM1
jhotdraw,QuadTreeCompositeFigure
heritrix,ModuleType
xerces,SynchronizedGrammarPool
tapestry,TimeInterval
jena,URIref
megamek,BasicOption
castor,SQLTypeInfos
argouml,ActionNewUseCase
tomcat,JMXAccessorTask
sunflow,WaldTriangle
lucene,ScoredDocIdsUtils
jasperreports,StandardColumnGroup
columba,IncomingServerPanel
jruby,RubyRational
columba,EditGroupDialog
exoportal,TestRegistrationInterface
poi,TestTable
jruby,MarshalCache
itext,ChainedProperties
jgraphpad,GraphOptionsSizeable
weka,PPCell
galleon,Part
weka,KernelEstimator
openjms,NameService
jedit,ResultIcon
lucene,EnhancementsDocumentBuilder
drawswf,ADPCMHelper
megamek,ArtilleryAttackModel
jhotdraw,Shapes
roller,WeblogPageCache
quickserver,PropertiePanel
displaytag,RowIterator
ganttproject,DefaultEnumerationOption
velocity,ASTEscapedDirective
fitlibraryforfitnesse,Match
itext,PdfCopy
jspwiki,XHtmlElementToWikiTranslator
sandmark,DominatorTest
weka,NewAction
marauroa,CachedCompressedPerception
castor,Century
htmlunit,PropertiesTest
roller,GuicePlanetProvider
lucene,FacetParamsMissingPropertyException
jgroups,DiagnosticsHandler
wct,LogonDurationDAOImpl
tomcat,SecondPassVisitor
emma,BlockSegment
jruby,CallbackProxy
xalan,PrefixForUriEnumerator
jgroups,UNICAST2_StressTest
jhotdraw,DependencyFigure
itext,ECBlocks
jruby,SystemPropertyCatcher
jedit,FontSelector
jfreechart,LegendItemTests
pooka,OutgoingMailServer
jasperreports,DateTextValue
xalan,SelectionEvent
jfreechart,DefaultKeyedValues2D
nekohtml,HTMLScannerTest
roller,URLStrategy
jfreechart,TickUnitSource
jfreechart,SymbolAxisTests
tomcat,GetRequestDispatcherPrivilegedAction
argouml,SelectionException
freecs,CmdRightChange
jgroups,Acker
xerces,DOMImplementationImpl
megamek,CLUAC2Prototype
velocity,Node
weka,AttributeVisualizationPanel
jgrapht,SimpleWeightedGraph
poi,XSSFPictureData
wct,HarvestAgentSOAPClient
jmeter,ReportActionRouter
jedit,ViewConfig
log4j,ConsoleAppender
exoportal,CancelActionListener
jmeter,ThreadGroup
struts,FreemarkerManager
xerces,XMLNamespaceBinder
xalan,ElemExtensionDecl
jung,PickZoomBehavior
columba,CancelAction
jfreechart,ChartComposite
proguard,InstanceofClassMarker
exoportal,TestCommunityConfigService
poi,HWPFTestCase
jruby,TypeConverter
fitlibraryforfitnesse,ListParser2
htmlunit,HtmlPageTest
poi,TestBlockListImpl
columba,HtmlEditorController
jung,MultiViewDemo
jpf,SimpleSplashHandler
jasperreports,XlsxDrawingRelsHelper
jedit,TextArea
axion,ConstraintEvent
fitjava,RowFixture
castor,FieldHandlerImpl
weka,ImageSaverCustomizer
wct,AgencyUserManagerImpl
jruby,JavaMethodZeroOrOneOrTwoOrThreeOrN
jung,SubLayoutDemo
maven,MavenModelMerger
castor,MysqlForeignKey
cobertura,NewLocalVariableMethodAdapter
galleon,LimitedGenre
maven,ProjectBuildingException
tomcat,ValidateVisitor
jruby,LateLoadingLibrary
weka,BoundaryPanelDistributed
ganttproject,BoxObject
galleon,RecordedPanel
jena,PrefixMappingAssembler
proguard,ConstantBodyWriter
weka,CorrelationSplitInfo
aoi,Linear3DTriangle
sandmark,Misc
jchempaint,ICrystal
xmojo,RelationNotFoundException
jasperreports,TextAlignHolder
mvnforum,MessageStatisticsDAOImplJDBC
lucene,ProximityType
freemind,NodeBackgroundColorAction
hsqldb,RowAVLDiskData
htmlunit,XmlPage
jedit,Reflect
freecol,OutsideColonyPanel
emma,Item
drjava,BinaryOpProperty
findbugs,SetBugDatabaseInfo
findbugs,VolatileUsage
jung,EditingModalGraphMouse
poi,TestWriteWellKnown
lucene,VerifyingLockFactory
exoportal,TestFilters
emma,classParser
aoi,BoundingBox
argouml,GoSignalToReception
tomcat,ELText
heritrix,BdbFrontier
findbugs,LockAnalysis
weka,RandomCommittee
ganttproject,AlphaRenderingOption
wct,TargetInstanceStateHandler
megamek,ISMediumPulseLaser
drjava,DefaultFont
roller,TaskRunner
pooka,HelpAction
columba,TableViewOwner
heritrix,OneLineSimpleLogger
exoportal,TestLoginModule
jspwiki,WikiEditorInfo
exoportal,XMLDataManagerFacade
exoportal,MessageServiceImpl
jfreechart,BoxAndWhiskerCalculatorTests
jfreechart,VectorRenderer
jmeter,LoggingManager
megamek,InfantryRifleBoltActionWeapon
drjava,ProjectFileGroupingState
james,MailboxException
ganttproject,PrintPreview
colt,Double5Function
freemind,HideAllAttributesAction
jruby,WeakDescriptorReference
drjava,LayeredIcon
freemind,HtmlFlavorHandler
webmail,OTPAuthenticator
xerces,HTMLScriptElementImpl
megamek,ZippedItems
maven,ComparableVersionTest
pmd,LoggingJakartaCommonsRulesTest
galleon,MovieFile
megamek,MinefieldEncoder
maven,ActiveProjectArtifact
jgrapht,CycleDetector
jchempaint,WeightedPathDescriptorTest
poi,TestSheetAdditional
jgrapht,AsUndirectedGraph
jhotdraw,QuadNode
drjava,DrJavaScrollableDialog
jgraphpad,PluginInvoker
xalan,XSLMessages
findbugs,CallListDataflow
megamek,PhysicalOption
jena,SimpleTripleSorter
fitlibraryforfitnesse,ShowInJustSut
ganttproject,TaskBar
openjms,SQLHelper
freecol,IndianNationType
pooka,ActionWrapper
weka,CostBenefitAnalysis
tomcat,JspProperty
pmd,TypeSignatureVisitor
poi,TestExternalFunctionFormulas
jruby,CallbackInvoker
maven,DefaultLifecycles
poi,OOXMLLister
jedit,DockableWindowManagerImpl
exoportal,MessageImpl
argouml,UMLAssociationLinkListModel
freecol,AssignTradeRouteAction
drjava,DragDropRowMouseInputHandler
jasperreports,JRClassLoader
roller,CompressionFilter
columba,AllTests
jgroups,GridOutputStream
rssowl,SavedSearchService
castor,PointBaseGeneratorTest
pooka,AlternativeAttachment
jmeter,GraphAccum
jena,FileGraphTransactionHandler
jedit,SyntaxUtilities
jhotdraw,DefaultDrawingView
megamek,TeleMissileHandler
jmeter,EditorDelegate
informa,PersistChanGrpMgr
xalan,MyPrefixResolver
jrat,MethodKeyPool
emma,signatureCompiler
tomcat,ReplicatedMap
jmeter,JSR223PostProcessorBeanInfo
velocity,Velocity532TestCase
mvnforum,Unmarshaller
jruby,Match2Node
fitlibraryforfitnesse,GenericMaps
lucene,OutOfOrderOneComparatorScoringNoMaxScoreCollector
ivatagroupware,LibraryImpl
poi,CommonObjectDataSubRecord
megamek,GUIPreferences
weka,ActionZoomOut
columba,HeaderTableModel
ganttproject,DateCellEditor
megamek,ChatterBox
jfreechart,CategorySeriesHandler
pooka,FileSelectorPane
htmlunit,BrowserRunner
exoportal,UISearchBar
jgraphpad,Touch
jrat,ProxyDriver
xalan,SingletonIterator
jgrapht,VertexData
poi,CompressedStreamStore
quartz,CascadingClassLoadHelper
aoi,ApplicationPreferences
drawswf,SetCanvasSizeAction
roller,IndexManagerImpl
ganttproject,CustomColumEvent
heritrix,QuotaEnforcer
jedit,BSHBinaryExpression
xalan,PositionCall
tomcat,ClassFormatException
castor,JDOConfAdapter
wct,AddMembersCommand
sandmark,ExprTreeBlock
argouml,SaveException
tapestry,ClassFactoryImpl
jmeter,TestProxyControl
jruby,StructByValue
aoi,Photon
jedit,KeyHandler
checkstyle,DescendantTokenCheckTest
joggplayer,InfoMapping0
jgraph,ParentMap
columba,FolderInfoPanel
freemind,FlatNodeTableKeyListener
jena,GetBinding
pmd,JavaTypeHandler
jruby,Hash19Node
quartz,DirtyFlagSet
jgraphpad,MyDocumentListener
ganttproject,ImportResources
picocontainer,Reinjector
megamek,ArmorType
struts,JJCalls
megamek,InfantrySupportLaserWeapon
lucene,SampleResult
castor,Date
aoi,FilterParameterTrack
jruby,TypeSizeMapper
argouml,ArgoFigRect
galleon,Movie
megamek,Option
jena,SchemagenOptionsImpl
argouml,FeatureNotSupportedException
exoportal,RefreshActionListener
freemind,PermanentMindMapNodeHookAdapter
freemind,PageAction
velocity,ASTText
columba,CommandHelper
drjava,NwList
megamek,AbstractEntityAction
lucene,LatLng
roller,DisplayGroup
mvnforum,MvnForumLifeCycleServiceImplDefault
checkstyle,JavadocStyleCheck
colt,Elliptic
jasperreports,PptxPresentationHelper
tapestry,IntegrationTests
sandmark,TrivialDiffAlgorithm
megamek,InfantryArchaicCarbonReinforcedNailsWeapon
jchempaint,ExtendedFingerprinter
pmd,AcceptanceTest
trove,THash
rssowl,StatesUpdateInfo
exoportal,PortalConfigDescriptionData
sandmark,Optimise
tomcat,Http11ConnectionHandler
aoi,CSGObject
pooka,ProgressDialogImpl
castor,ResolverException
poi,ColorSchemeAtom
cobertura,ProjectData
jena,CSEntry
itext,ReedSolomonEncoder
argouml,ProgressEvent
jchempaint,CMLWriter
sandmark,SumData
castor,JDOFieldInfoNature
ganttproject,TaskMap
castor,InterbaseQueryExpression
itext,Indentation
aoi,PluginResource
jedit,TextAreaSelection
weka,FindWithCapabilities
jasperreports,BoundElementMap
exoportal,UIImportUserData
ganttproject,GPUndoManager
nekohtml,NamespaceSupport
marauroa,GameEventDAO
jruby,Handler
xalan,GetOpt
weka,Stats
lucene,QueryScorer
freecol,FoundingFatherTest
findbugs,MergeSummarizeAndView
htmlunit,HtmlRadioButtonInput2Test
freecol,LocationData
jgroups,RingBuffer
megamek,InfantryPistolNeedlerPistolWeapon
log4j,JunitTestRunnerFilter
oscache,ExpiresRefreshPolicy
mvnforum,RankBean
exoportal,WebUnit
quartz,CounterConfig
jung,SynchronizedUndirectedGraph
exoportal,AdvancedSearchActionListener
jung,PopupGraphMousePlugin
jgroups,ReceiverThread
jgroups,Header
fitlibraryforfitnesse,Manager
jfreechart,CategoryLabelWidthTypeTests
itext,Entry
weka,ClassAssignerCustomizer
checkstyle,ComplexityOverflow
freecol,WindowedFrameListener
jena,ParserSupport
castor,Table
weka,KMeansInpiredMethod
pmd,AbstractRuleChainVisitor
jasperreports,JRXmlWriter
drjava,JUnitTestRunner
roller,RefererTest
jedit,AboutPanel
jmeter,AbstractChart
jasperreports,EAN8Component
jchempaint,FormatFactory
castor,TimeDescriptor
fitlibraryforfitnesse,Employee
fitlibraryforfitnesse,MyPoint
tomcat,UseBean
struts,Date
struts,NameEntry
wct,ProfileFormCredentialsController
findbugs,DepthFirstSearch
heritrix,ExtractorHTMLTest
jgraphpad,2
jgroups,TUNNEL_Test2
jgraphpad,3
jruby,RedoJump
findbugs,Builder
weka,ClassFunction
findbugs,MultiMap
freemind,FileController
quartz,TriggerListenerSupport
jchempaint,AtomTypeReaderTest
jchempaint,ElectronImpactPDBReactionTest
jhotdraw,EventHandler
colt,AbstractList
checkstyle,XMLLoggerTest
jext,SwapFunction
cobertura,ConfigurationUtil
megamek,BLKBattleArmorFile
jung,EdgeShape
jruby,ASTCompiler
exoportal,UIExoCommand
quickserver,QSAdminMain
jgroups,McastSenderTest
axion,AbstractAxionClob
jgraph,GroupingRemoving
sunflow,UI
poi,XWPFFooter
jasperreports,CrosstabTotalPositionEnum
pooka,SearchAction
argouml,FigForkState
jruby,CallManyArgsNode
roller,ThemeNotFoundException
jena,ModelAssembler
james,ListCommandParser
megamek,BackGroundDrawer
jmeter,BSFTimer
argouml,CrUnconventionalOperName
argouml,TypeVariableSignatureLexer
jmeter,BeanShellTestElement
ganttproject,TaskManagerImpl
jgraphpad,GPGraphTools
tapestry,AliasManagerImpl
checkstyle,TranslationCheck
velocity,ParseErrorException
drawswf,ScreenCompositeContext
jparse,ConstrAST
aoi,ExternalObject
galleon,SL
argouml,UMLTransitionStateListModel
jasperreports,BucketListMap
tomcat,JAASCallbackHandler
jruby,ChannelDescriptor
freemind,CopyAction
roller,WebappResourceLoader
jasperreports,FillChartSettings
tomcat,WriteConvertor
argouml,SettingsTabProfile
jgraphpad,EditFindAgain
megamek,DfaAttackAction
hsqldb,ServerThread
tomcat,LifecycleMBeanBase
jchempaint,IsomorphismTester
poi,SheetRecordCollector
xerces,DOMASBuilderImpl
aoi,Token
jena,LCAIndex
jhotdraw,EditGridPanel
jgrapht,DirectedAcyclicGraphTest
colt,NumericalIntegration
jfreechart,MeterPlot
castor,State
argouml,PerspectiveComboBox
weka,NormDiscrete
picocontainer,NamedFieldInjection
sunflow,Vector3
xerces,EntityReferenceImpl
freecol,TileItem
xalan,PredicatedNodeTest
columba,ColumbaTrayIcon
jgroups,Receiver
struts,ActionTagTest
argouml,SettingsTabSql
lucene,LatLongDistanceFilter
drjava,IndentTest
jgrapht,DefaultDirectedGraph
tomcat,BioReceiver
maven,ArtifactResolverTest
megamek,BotGUI
velocity,Macro
jchempaint,AdductionProtonPBReaction
drjava,JUnitPanel
jruby,Dir
itext,PdfPSXObject
weka,TreeBuild
struts,ELArithmetic
columba,TrainMessageAsHamAction
argouml,FigCompartmentBox
quartz,JobPersistenceException
picocontainer,WriterComponentMonitor
jspwiki,FileUtil
xmojo,MBeanServer
jhotdraw,Canvas
weka,Normalize
colt,TestMatrix2D
freecs,CmdHitDice
maven,DefaultLifecycleExecutionPlanCalculator
jena,Filter
jchempaint,ISimpleChemObjectReader
jena,LPBRuleEngine
jchempaint,HyperconjugationReaction
jmeter,TestTestCompiler
wct,BrowseCommand
drjava,GoToFileListEntry
jchempaint,ForceFieldConfigurator
jasperreports,JRVirtualPrintPage
tapestry,Output
trove,CompactionBenchmark
lucene,TernaryTree
castor,TypeInfo
oscache,TestQueueCache
columba,DefaultItem
heritrix,TmpDirTestCase
webmail,OTPAuthenticatorIface
jsXe,FileCloseAllAction
argouml,ParseState
jasperreports,XlsxSheetHelper
checkstyle,FullIdent
castor,IntegerToBoolean
pooka,FileVariableBundle
castor,FieldMemberAndAccessorFactory
sunflow,UberShader
jgraphpad,ActivityRenderer
jgroups,DrawPanel
lucene,MultiPassIndexSplitter
quartz,SchedulerDetailsSetterTest
maven,ModelBuildingException
jena,JenaRuntime
pmd,AbstractPropertyDescriptorTester
jchempaint,RadicalSiteInitiationReaction
jena,SelectorImpl
castor,Elements
pmd,ASTArgumentList
fitlibraryforfitnesse,Cell
htmlunit,ElementTest
columba,GroupFolder
poi,AbstractPtgTestCase
poi,PageOrder
lucene,NumericRangeQueryNodeProcessor
drjava,IntegerOptionComponent
ganttproject,FieldChange
jedit,EditingOptionPane
jena,Field
heritrix,IoUtils
pmd,ASTText
jedit,ActionHandler
galleon,PositionControl
jasperreports,JRScatterChartFactory
jruby,RubyThread
aoi,ScriptedObject
argouml,UMLEditableComboBox
jung,ClusteringDemo
tapestry,URLChangeTracker
freecol,OptionGroup
velocity,UberspectImpl
jfreechart,DefaultNumberAxisEditor
poi,HSSFReadWrite
sandmark,HalsteadMethodDifficultyMeasure
c_jdbc,DistributedVirtualDatabase
jruby,ArrayNode
jena,DC_10
jedit,MarkersSaveRequest
jena,DC_11
jasperreports,JRHibernateIterateDataSource
jfreechart,CategoryLabelPositionTests
weka,Expression
fitlibraryforfitnesse,ConstructorNotVisible
log4j,PatternAbbreviator
c_jdbc,ControllerStopScenario
sandmark,Objectify
pmd,LanguageFactoryTest
pmd,SimpleNodeTest
jruby,Scope
tapestry,TargetBean
jung,UnmodifiableAbstractGraph
findbugs,ConfusedInheritance
itext,VerticalPositionMark
struts,OptionTransferSelect
xalan,ProcessorDecimalFormat
jasperreports,JRDesignElement
jgroups,Notification
megamek,CLHeavyMGA
xerces,ConditionToken
axion,ColumnEvent
exoportal,SaveActionListener
jchempaint,LinearRegressionModel
argouml,ArgoFigCircle
jasperreports,JRTemplatePrintLine
c_jdbc,RAIDb1OptimisticTransactionLevelScheduler
jasperreports,JRDesignElementGroup
lucene,ArrayHashMap
squirrel_sql,DndEvent
log4j,DatePatternConverter
findbugs,ChurnCommandLine
jgraph,JGraphLayout
jext,OpenUrl
struts,ImplicitTagLibraryInfo
openjms,MigrationHelper
jmeter,FixedQueueExecutor
junit,IgnoredClassRunner
argouml,ToDoPane
columba,HtmlEditorView
xalan,Whitespace
jasperreports,StringExpressionFactory
jedit,FavoritesProvider
james,ServerResponse
c_jdbc,ControllerServerThread
heritrix,UriUtils
lucene,QueryParserHelper
tomcat,ResponseWrapper
jedit,PrintOptionPane
maven,FileProfileActivator
jchempaint,SMARTSFormat
velocity,ClassMapTestCase
tomcat,PrivilegedForward
jruby,TraceableInterpretedMethod
jasperreports,JRColorUtil
jena,Report
findbugs,ComputeBugHistoryTask
columba,SpamcExternalToolPlugin
jena,Functor
checkstyle,InputValidDotIndent
tomcat,Bootstrap
jasperreports,BarChartCompiler
informa,Cloud
xalan,StringLengthCall
freecol,Event
jfreechart,HistogramDatasetTests
jchempaint,AbstractChemModelTest
roller,RollerAtomHandler
axion,SimpleRow
jruby,ThreadSafeLocalContextProvider
picocontainer,CantWorkItOut
mvnforum,WatchBean
aoi,UniformTriangle
jasperreports,JRFillXyzDataset
jedit,VariableGridLayout
jgroups,DistributedQueue
jmeter,EvalFunction
jruby,Delegator
weka,Timestamp
tomcat,TagVariableInfo
jruby,RubyArgsFile
ganttproject,GanttDialogProperties
htmlunit,XPathAdapter
james,Mail
antlr,TestCaseEditController
heritrix,AdaptiveRevisitQueueList
tomcat,MemoryUserDatabase
jhotdraw,FontChooserMain
openjms,SentMessageCache
aoi,SkewMeshTool
wct,HarvestHistoryDTO
jsXe,DOMSerializerException
poi,HSSFFont
quartz,JobFile
megamek,CLFireExtinguisher
emma,BridgeAttribute_info
jedit,BufferSaveRequest
openjms,ContextInvocation
megamek,TdbFile
jgraph,GraphConstants
jchempaint,StructureDiagramGenerator
weka,RelationalCellEditor
velocity,BaseSQLTest
wct,QualityReviewFacade
ivatagroupware,PersonForm
jasperreports,JRBaseLineBox
xerces,SoftReferenceGrammarPool
argouml,AddCommand
findbugs,Util
jfreechart,CombinedRangeXYPlot
openjms,MasterUserStore
columba,MoveMessageTest
findbugs,AppNameAttribute
jgrapht,IntegerPermutationIter
jedit,SelectionLength
jgraphpad,FormatUnlockBendable
jhotdraw,MoveHandle
tapestry,ThreadLocale
jruby,PostExeNode
nekohtml,HTMLAugmentations
nekohtml,CanonicalTest
columba,ToggleToolbarButton
columba,GetHeaderItemListTest
rssowl,AddCredentialsDialog
castor,Type
findbugs,StaticCalendarDetector
jgraph,JGraphAdapterExample
lucene,MinPayloadFunction
heritrix,DomainScope
proguard,SettableMatcher
ivatagroupware,SecuritySession
pmd,ASTBooleanLiteral
jfreechart,LineUtilitiesTests
jgraphpad,FormatLineOrthogonal
pmd,DoublePropertyTest
fitlibraryforfitnesse,DoTraverse
jext,PrintlnFunction
jung,ModeKeyAdapter
exoportal,PortletContainerServiceImpl
jasperreports,BooleanTextValue
exoportal,Group
poi,SVBorder
roller,ExpiringLRUCacheImpl
jruby,ZSuperNode
freecol,CLDRTest
jhotdraw,FileIconsSample
argouml,UMLChangeDispatch
jruby,AsyncReaction
xmojo,RoleInfo
velocity,MethodInvocationExceptionTestCase
jspwiki,WikiRequestWrapper
poi,SerializerVisitor
jgrapht,WeightedPseudograph
htmlunit,SelectorSpecificity
freecol,LastSale
argouml,ArgoHelpEvent
webmail,ServletLogger
castor,AndCondition
drawswf,SetColorAction
jchempaint,CML23FragmentsTest
megamek,CLAMS
javacc,IO
jgroups,AckSenderWindow
jhotdraw,PathTool
columba,MixedCharactersAddressRule
jpf,RegistryChangeDataImpl
jedit,Buffer
jmeter,TestLogFilter
jgroups,IncomingPacket
xalan,XalanTransformState
proguard,UnreachableCodeRemover
columba,FixedTableSelectionHandler
jfreechart,RectangleConstraintTests
jmeter,SmtpPanel
weka,NoSupportForMissingValuesException
jhotdraw,SVGZOutputFormat
freemind,NodeUpAction
megamek,ParseException
findbugs,InstructionIterator
trove,TObjectHashIterator
axion,CreateTableCommand
xerces,ConcatToken
pooka,MBPAttachment
poi,CreateHyperlink
jruby,FrameStorePlacementProblem
jfreechart,StandardDialFrame
castor,SourceGeneratorMain
tapestry,PersistentFieldStrategy
poi,GREY_80_PERCENT
exoportal,BPDefinitionRenderer
jruby,ClosureInfo
itext,PdfTextExtractor
argouml,Rect
exoportal,FileIndexerPluginImpl
log4j,XMLLayoutTest
jena,WantDescription
castor,OracleFactory
exoportal,UIWeatherTitle
poi,BoolEval
tomcat,DirContextURLStreamHandlerFactory
jgrapht,WheelGraphGenerator
lucene,AttributeImpl
jruby,FilenameInstruction
jena,DBBlob
wct,HarvestResourceNodeTreeBuilder
castor,BookType
wct,ProfileDTO
exoportal,ShowPortletActionListener
drjava,DefaultJUnitModel
htmlunit,HTMLFormElementTest
weka,ADNode
exoportal,ProcessUploadListener
pmd,ClassDeclTest
quartz,SampledRateCounterImpl
axion,BaseTableModificationPublisher
squirrel_sql,ColumnInfo
freecol,BuildColonyMessage
htmlunit,EventListenersContainer
axion,TransactionConflictException
jasperreports,JRRecordedValuesGenericPrintElement
jmeter,ReportHelp
itext,XmlDomWriter
megamek,MegaMek
jmoney,AbstractCategory
exoportal,PropertyDefNT
lucene,SimpleFragmentsBuilder
jpf,ShadingPathResolver
tomcat,RxTaskPool
jhotdraw,AttributeAction
freecol,FreeColRadioButtonUI
xmojo,Notification
jgroups,ReleaseLockDecree
